model,split,epoch,accuracy
Xenova/all-mpnet-base-v2,val,12,0.3376947045326233
Xenova/all-mpnet-base-v2,test,12,0.5057692527770996
Xenova/all-mpnet-base-v2,train,13,0.9523355960845947
Xenova/all-mpnet-base-v2,val,13,0.3514018654823303
Xenova/all-mpnet-base-v2,test,13,0.5108974575996399
Xenova/all-mpnet-base-v2,train,14,0.958055317401886
Xenova/all-mpnet-base-v2,val,14,0.35638630390167236
Xenova/all-mpnet-base-v2,test,14,0.5051282048225403
Xenova/all-mpnet-base-v2,train,15,0.9622770547866821
Xenova/all-mpnet-base-v2,val,15,0.3376947045326233
Xenova/all-mpnet-base-v2,test,15,0.5096153616905212
Xenova/all-mpnet-base-v2,train,16,0.9654092788696289
Xenova/all-mpnet-base-v2,val,16,0.34953272342681885
Xenova/all-mpnet-base-v2,test,16,0.5089743733406067
Xenova/all-mpnet-base-v2,train,17,0.9684053063392639
Xenova/all-mpnet-base-v2,val,17,0.3470405042171478
Xenova/all-mpnet-base-v2,test,17,0.5147435665130615
Xenova/all-mpnet-base-v2,train,18,0.9727632403373718
Xenova/all-mpnet-base-v2,val,18,0.3345794379711151
Xenova/all-mpnet-base-v2,test,18,0.5089743733406067
Xenova/all-mpnet-base-v2,train,19,0.9753507375717163
Xenova/all-mpnet-base-v2,val,19,0.3470405042171478
Xenova/all-mpnet-base-v2,test,19,0.517307698726654
Xenova/all-mpnet-base-v2,train,20,0.9752145409584045
Xenova/all-mpnet-base-v2,val,20,0.34267911314964294
Xenova/all-mpnet-base-v2,test,20,0.5192307829856873
Xenova/all-mpnet-base-v2,train,21,0.9795724153518677
Xenova/all-mpnet-base-v2,val,21,0.3445482850074768
Xenova/all-mpnet-base-v2,test,21,0.517307698726654
Xenova/all-mpnet-base-v2,train,22,0.9812066555023193
Xenova/all-mpnet-base-v2,val,22,0.35264796018600464
Xenova/all-mpnet-base-v2,test,22,0.5121794939041138
Xenova/all-mpnet-base-v2,train,23,0.9825685024261475
Xenova/all-mpnet-base-v2,val,23,0.33271026611328125
Xenova/all-mpnet-base-v2,test,23,0.5083333253860474
Xenova/all-mpnet-base-v2,train,24,0.9867901802062988
Xenova/all-mpnet-base-v2,val,24,0.34517133235931396
Xenova/all-mpnet-base-v2,test,24,0.5160256624221802
Xenova/all-mpnet-base-v2,train,25,0.9865178465843201
Xenova/all-mpnet-base-v2,val,25,0.34517133235931396
Xenova/all-mpnet-base-v2,test,25,0.521794855594635
Xenova/all-mpnet-base-v2,train,26,0.9871987700462341
Xenova/all-mpnet-base-v2,val,26,0.3376947045326233
Xenova/all-mpnet-base-v2,test,26,0.5032051205635071
Xenova/all-mpnet-base-v2,train,27,0.9886967539787292
Xenova/all-mpnet-base-v2,val,27,0.34267911314964294
Xenova/all-mpnet-base-v2,test,27,0.5153846144676208
Xenova/all-mpnet-base-v2,train,28,0.9897862672805786
Xenova/all-mpnet-base-v2,val,28,0.3470405042171478
Xenova/all-mpnet-base-v2,test,28,0.521794855594635
Xenova/all-mpnet-base-v2,train,29,0.9912842512130737
Xenova/all-mpnet-base-v2,val,29,0.3489096462726593
Xenova/all-mpnet-base-v2,test,29,0.5179487466812134
Xenova/bge-small-en-v1.5,train,0,0.4359253942966461
Xenova/bge-small-en-v1.5,val,0,0.35825544595718384
Xenova/bge-small-en-v1.5,test,0,0.4724358916282654
Xenova/bge-small-en-v1.5,train,1,0.7401607632637024
Xenova/bge-small-en-v1.5,val,1,0.3881619870662689
Xenova/bge-small-en-v1.5,test,1,0.5301281809806824
Xenova/bge-small-en-v1.5,train,2,0.8211902976036072
Xenova/bge-small-en-v1.5,val,2,0.40747663378715515
Xenova/bge-small-en-v1.5,test,2,0.5596153736114502
Xenova/bge-small-en-v1.5,train,3,0.8549639582633972
Xenova/bge-small-en-v1.5,val,3,0.36510902643203735
Xenova/bge-small-en-v1.5,test,3,0.5365384817123413
Xenova/bge-small-en-v1.5,train,4,0.8680376410484314
Xenova/bge-small-en-v1.5,val,4,0.38068535923957825
Xenova/bge-small-en-v1.5,test,4,0.5538461804389954
Xenova/bge-small-en-v1.5,train,5,0.8812475204467773
Xenova/bge-small-en-v1.5,val,5,0.3713395595550537
Xenova/bge-small-en-v1.5,test,5,0.528205156326294
Xenova/bge-small-en-v1.5,train,6,0.8926869630813599
Xenova/bge-small-en-v1.5,val,6,0.3532710373401642
Xenova/bge-small-en-v1.5,test,6,0.5006410479545593
Xenova/bge-small-en-v1.5,train,7,0.9023560285568237
Xenova/bge-small-en-v1.5,val,7,0.361370712518692
Xenova/bge-small-en-v1.5,test,7,0.514102578163147
Xenova/bge-small-en-v1.5,train,8,0.9118888974189758
Xenova/bge-small-en-v1.5,val,8,0.35825544595718384
Xenova/bge-small-en-v1.5,test,8,0.5179487466812134
Xenova/bge-small-en-v1.5,train,9,0.916110634803772
Xenova/bge-small-en-v1.5,val,9,0.34267911314964294
Xenova/bge-small-en-v1.5,test,9,0.5070512890815735
Xenova/bge-small-en-v1.5,train,10,0.9222388863563538
Xenova/bge-small-en-v1.5,val,10,0.35514017939567566
Xenova/bge-small-en-v1.5,test,10,0.5121794939041138
Xenova/bge-small-en-v1.5,train,11,0.9283671975135803
Xenova/bge-small-en-v1.5,val,11,0.35077881813049316
Xenova/bge-small-en-v1.5,test,11,0.5070512890815735
Xenova/bge-small-en-v1.5,train,12,0.930818498134613
Xenova/bge-small-en-v1.5,val,12,0.35389408469200134
Xenova/bge-small-en-v1.5,test,12,0.5121794939041138
Xenova/bge-small-en-v1.5,train,13,0.9347678422927856
Xenova/bge-small-en-v1.5,val,13,0.35264796018600464
Xenova/bge-small-en-v1.5,test,13,0.5102564096450806
Xenova/bge-small-en-v1.5,train,14,0.9369468092918396
Xenova/bge-small-en-v1.5,val,14,0.35638630390167236
Xenova/bge-small-en-v1.5,test,14,0.5179487466812134
Xenova/bge-small-en-v1.5,train,15,0.9423941373825073
Xenova/bge-small-en-v1.5,val,15,0.336448609828949
Xenova/bge-small-en-v1.5,test,15,0.5012820363044739
Xenova/bge-small-en-v1.5,train,16,0.9443007707595825
Xenova/bge-small-en-v1.5,val,16,0.3445482850074768
Xenova/bge-small-en-v1.5,test,16,0.5064102411270142
Xenova/bge-small-en-v1.5,train,17,0.9475691318511963
Xenova/bge-small-en-v1.5,val,17,0.361370712518692
Xenova/bge-small-en-v1.5,test,17,0.5237179398536682
Xenova/bge-small-en-v1.5,train,18,0.9494757652282715
Xenova/bge-small-en-v1.5,val,18,0.3420560657978058
Xenova/bge-small-en-v1.5,test,18,0.5070512890815735
Xenova/bge-small-en-v1.5,train,19,0.9553316831588745
Xenova/bge-small-en-v1.5,val,19,0.3532710373401642
Xenova/bge-small-en-v1.5,test,19,0.5243589878082275
Xenova/bge-small-en-v1.5,train,20,0.9539698362350464
Xenova/bge-small-en-v1.5,val,20,0.36074766516685486
Xenova/bge-small-en-v1.5,test,20,0.5262820720672607
Xenova/bge-small-en-v1.5,train,21,0.9553316831588745
Xenova/bge-small-en-v1.5,val,21,0.35389408469200134
Xenova/bge-small-en-v1.5,test,21,0.5333333611488342
Xenova/bge-small-en-v1.5,train,22,0.9596895575523376
Xenova/bge-small-en-v1.5,val,22,0.347663551568985
Xenova/bge-small-en-v1.5,test,22,0.5192307829856873
Xenova/bge-small-en-v1.5,train,23,0.9617323279380798
Xenova/bge-small-en-v1.5,val,23,0.35389408469200134
Xenova/bge-small-en-v1.5,test,23,0.5134615302085876
Xenova/bge-small-en-v1.5,train,24,0.9600980877876282
Xenova/bge-small-en-v1.5,val,24,0.3514018654823303
Xenova/bge-small-en-v1.5,test,24,0.5160256624221802
